0,1,2,3
0,1,देश हिन्दु निराले । पक्के राम भक्त बाबर साले जय राम,hate
1,2,सरकार हमेशा किसानों कमाई बढ़ाने नई नई स्कीमें लाती रहती ताकि ज्यादा आर्थिक बोझ पड़े,non-hostile
2,3,सुशांत बिजनेस डील जून वो डील दीपेश सुशांत हत्या दिन क्यों याद आई देखिए पूछता भारत अर्नब रिपब्लिक भारत,non-hostile
3,4,साले जेएनयू छाप कमिने लोग हिन्दुओं संविधान सबको बराबर अधिकार देता । सच्चाई बराबर अधिकार देता ।,defamation
5,6,चीन तर्क भारत विपक्ष मसुद आतंकी मानता कैसे माने । चुल्लू भर मूत्र डूब मरो गद्दारों । अब भारत लोगों सोचना वो विपक्ष वोट क्यों शर्मा,fake
6,7,देश,non-hostile
10,11,मोदीजी देश सेना खडी सयाने विदेश पडे इसलिए बोलते विदेशी मां बेटा कभी देशभक्त,hate
11,12,घरों तोड़ने आदेश आया फर्क़ पड़ता अमीरों मकान अवैध हिस्से,offensive
12,13,बीजेपी प्रवक्ता कांग्रेस प्रवक्ता हेड मिस्ट्रेस सुनिए कांग्रेस प्रवक्ता क्या जवाब दिया1,non-hostile
13,14,बियर ग्रिल्स खतरनाक जंगलों दिखेंगे अक्षय कुमार जारी वीडियोyy,non-hostile
14,15,आजम खान बेटी ससूर रेप । अब उठता वाला बच्चा आजम खान रियल दमाद क्या बोलेगा ।,offensive
15,16,कांग्रेस मूल कंगना रनौत बिहार चुनाव भाजपा प्रचार करेंगी,fake
16,17,होम आइसोलेशन रहने लोग थर्मामीटर तथा पल्स ऑक्सीमीटर । खांसी बुखार आये अथवा सांस फूले तत्काल हेल्पलाइन नं अथवा सम्पर्क करे चिकित्सा स्वास्थ्य अमित मोहन प्रसाद,non-hostile
17,18,पूर्व प्रधानमंत्री डॉ मनमोहन सिंह राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी श्रद्धांजलि दी1,non-hostile
18,19,छोड़ेंगे अधिकारी अपडेट,non-hostile
20,21,जापान नोबल पुरस्कार जीतने साल चीन काम प्रोफेसर,fake
21,22,दिल्ली हिंदुओं सिक्खों सामूहिक हत्याएं आतंकवादी जेहादी घी डिब्बे अवैध हथियार सप्लाई धर दबोचे गए ।,fake
22,23,कुत्ते एकता विचारों विरोध एकता पत्रकार न्यूज़ चैनल आशुतोष सर गौरव भाटिया बोला दोनों कान थप्पड़ मारूंगा बैठा पत्रकार रोहित सरदाना सुनती दुख,offensive
23,24,प्रणब मुखर्जी प्रार्थियों जुड़ी दया याचिकाओं खारिज प्रणब राष्ट्रपति रहीं प्रतिभा पाटिल ज्यादा लोगों फांसी फंदे बचाया प्रणब सिर्फ सात फांसी सजा माफ,non-hostile
24,25,लद्दाख करीब चीन तैनात किए लड़ाकू विमान लगातार भर उड़ान,non-hostile
